credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
815,Spain,Female,39,6,0.0,1,1,1,85167.88,0
714,Spain,Female,33,10,103121.33,2,1,1,49672.01,0
619,Spain,Female,38,6,0.0,2,1,1,117616.29,0
537,Germany,Female,37,7,158411.95,4,1,1,117690.58,1
664,France,Male,55,8,0.0,2,1,1,139161.64,0
508,France,Female,60,7,143262.04,1,1,1,129562.74,0
652,France,Female,37,4,0.0,2,1,0,143393.24,0
544,Spain,Male,22,3,66483.32,1,0,1,110317.39,0
712,Germany,Male,37,7,93978.96,2,1,0,60651.77,0
732,France,Male,55,9,136576.02,1,0,1,3268.17,1
660,France,Male,33,0,72783.42,1,0,0,181051.99,0
749,France,Male,40,1,139290.41,1,1,0,182855.42,1
646,France,Female,46,4,0.0,3,1,0,93251.42,1
535,Spain,Female,50,1,140292.58,3,0,0,69531.22,1
585,Germany,Female,39,7,165610.41,2,0,0,131852.01,0
658,Germany,Male,31,2,77082.65,2,0,0,13482.28,0
771,France,Female,41,10,108309.0,4,1,1,137510.41,1
622,France,Male,41,2,127087.06,1,1,0,102402.91,1
683,France,Male,72,3,140997.26,1,0,1,52876.41,0
794,Spain,Female,28,5,0.0,2,0,1,86699.98,0
850,France,Female,24,6,0.0,2,1,1,13159.9,0
726,Germany,Female,51,8,107494.86,2,1,0,140937.91,1
533,Spain,Female,52,7,0.0,1,0,1,194113.99,1
845,Spain,Female,52,0,0.0,1,1,0,31726.76,1
746,France,Male,47,8,142382.03,1,1,1,62086.62,0
616,Spain,Female,44,7,193213.02,2,1,1,137392.77,0
766,France,Female,27,7,158786.67,2,0,1,47579.25,0
547,Germany,Male,49,8,121537.71,2,1,0,46521.45,1
703,Spain,Male,73,5,137761.55,1,1,1,159677.46,0
502,France,Male,30,4,0.0,2,1,1,66263.87,0
510,France,Female,26,6,136214.08,1,0,0,159742.33,0
572,France,Male,37,1,133043.66,1,0,0,111243.09,0
498,Germany,Male,45,7,109200.74,2,0,1,165990.44,0
713,France,Male,46,5,0.0,1,1,1,55701.62,0
555,Germany,Male,62,4,119817.33,1,0,1,43507.1,1
573,France,Male,52,8,0.0,2,0,1,178229.04,0
850,France,Female,28,2,0.0,2,1,1,38773.74,0
675,Spain,Male,31,2,90826.27,2,1,0,60270.87,0
670,Germany,Female,35,2,79585.96,1,0,1,198802.9,0
604,France,Male,28,7,0.0,2,0,0,58595.64,0
463,France,Male,35,2,101257.16,1,1,1,118113.64,0
681,Germany,Female,44,4,91115.76,2,0,0,24208.84,1
673,Germany,Female,69,3,78833.15,2,1,1,37196.15,0
686,France,Female,41,10,0.0,1,1,0,133086.45,0
577,Germany,Female,59,7,111396.97,1,0,1,191070.01,0
644,Germany,Male,47,9,137774.11,2,1,0,151902.78,0
735,France,Male,31,3,119558.35,1,0,0,72927.68,0
754,France,Male,34,7,0.0,2,1,1,65219.85,0
554,Germany,Male,26,4,121365.39,1,1,1,8742.36,0
622,France,Female,38,4,98640.74,1,1,1,110457.99,0
598,Germany,Male,59,8,118210.42,2,0,0,60192.14,1
732,France,Female,43,9,0.0,2,1,0,183147.17,0
719,France,Female,22,7,114415.84,1,1,1,177497.4,0
614,France,Female,34,5,0.0,2,1,0,185561.89,0
650,Spain,Male,32,1,132187.73,2,1,1,178331.36,0
730,Spain,Female,52,7,0.0,2,0,1,122398.84,0
635,Germany,Female,36,9,81231.85,2,1,0,196731.08,0
519,Spain,Female,57,2,119035.35,2,1,1,29871.79,0
724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0
706,Germany,Female,47,10,144090.42,1,1,0,140938.95,1
513,Germany,Male,34,7,60515.13,1,0,0,124571.09,0
498,Germany,Female,44,2,120702.67,2,1,1,98175.74,0
592,France,Female,27,4,0.0,2,1,1,183569.25,0
465,France,Male,33,5,0.0,2,0,1,78698.09,0
680,France,Male,23,5,140007.19,1,0,1,31714.08,0
664,Spain,Female,53,7,187602.18,1,1,0,186392.99,1
797,France,Male,29,1,0.0,1,0,1,149991.32,0
642,Spain,Female,33,9,0.0,2,1,1,150475.14,0
731,France,Male,30,7,0.0,2,0,1,143086.09,0
832,Spain,Male,29,8,93833.86,1,0,1,10417.87,0
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
663,France,Male,40,6,156218.19,1,0,1,33607.72,0
850,France,Male,40,6,97339.99,1,0,1,88815.25,0
686,Germany,Male,33,9,141918.09,2,0,1,184036.47,0
654,France,Female,37,5,0.0,1,0,1,71492.28,0
551,Spain,Female,48,5,95679.29,1,0,0,94978.1,0
728,Germany,Female,33,9,150412.14,2,1,0,170764.08,0
613,Germany,Male,33,3,155736.42,2,1,1,57751.21,0
418,France,Female,46,9,0.0,1,1,1,81014.5,1
629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0
589,Germany,Female,19,9,83495.11,1,1,1,143022.31,1
443,France,Male,44,2,0.0,1,1,0,159165.7,0
663,France,Male,34,7,0.0,2,1,1,180427.24,0
438,Germany,Male,59,7,127197.14,1,1,0,51565.98,1
739,France,Female,27,6,0.0,1,1,1,57572.38,0
728,Spain,Female,29,1,0.0,1,1,1,83056.22,0
735,France,Male,50,2,0.0,2,0,1,147075.69,0
524,Germany,Female,31,10,67238.98,2,1,1,161811.23,0
648,Germany,Female,37,7,138503.51,2,1,0,57215.85,0
691,France,Male,30,9,0.0,1,1,0,49594.02,0
492,France,Female,28,9,0.0,2,1,0,95957.09,0
643,Spain,Female,45,9,150840.03,2,1,0,155516.35,0
642,Germany,Male,30,8,134497.27,1,0,0,43250.54,0
834,Spain,Male,33,5,0.0,2,1,0,66285.18,0
